date,index
2010/03/25,3229.128
2010/03/26,3275.002
2010/03/29,3358.54
2010/03/30,3366.708
2010/03/31,3345.607
2010/04/01,3391.935
2010/04/02,3407.346
2010/04/06,3405.145
2010/04/07,3386.949
2010/04/08,3346.744
2010/04/09,3379.17
2010/04/12,3351.478
2010/04/13,3391.716
2010/04/14,3403.707
2010/04/15,3394.574
2010/04/16,3356.332
2010/04/19,3176.423
2010/04/20,3173.374
2010/04/21,3236.679
2010/04/22,3201.541
2010/04/23,3190.003
2010/04/26,3171.997
2010/04/27,3108.409
2010/04/28,3097.353
2010/04/29,3060.064
2010/04/30,3067.365
2010/05/04,3019.449
2010/05/05,3036.394
2010/05/06,2896.856
2010/05/07,2836.789
2010/05/10,2858.233
2010/05/11,2800.817
2010/05/12,2818.16
2010/05/13,2886.911
2010/05/14,2868.023
2010/05/17,2714.715
2010/05/18,2771.348
2010/05/19,2762.174
2010/05/20,2726.022
2010/05/21,2768.791
2010/05/24,2873.469
2010/05/25,2813.943
2010/05/26,2813.944
2010/05/27,2859.979
2010/05/28,2850.302
2010/05/31,2773.264
2010/06/01,2744.162
2010/06/02,2757.527
2010/06/03,2736.076
2010/06/04,2744.391
2010/06/07,2695.715
2010/06/08,2699.336
2010/06/09,2782.133
2010/06/10,2750.023
2010/06/11,2758.866
2010/06/17,2742.733
2010/06/18,2696.166
2010/06/21,2780.663
2010/06/22,2783.72
2010/06/23,2758.495
2010/06/24,2757.498
2010/06/25,2736.287
2010/06/28,2716.777
2010/06/29,2592.019
2010/06/30,2563.07
2010/07/01,2526.071
2010/07/02,2534.105
2010/07/05,2512.651
2010/07/06,2562.902
2010/07/07,2580.477
2010/07/08,2575.921
2010/07/09,2647.104
2010/07/12,2676.218
2010/07/13,2634.593
2010/07/14,2653.609
2010/07/15,2608.519
2010/07/16,2616.128
2010/07/19,2682.472
2010/07/20,2741.503
2010/07/21,2747.335
2010/07/22,2781.286
2010/07/23,2793.076
2010/07/26,2811.055
2010/07/27,2795.724
2010/07/28,2863.724
2010/07/29,2877.976
2010/07/30,2868.846
2010/08/02,2917.275
2010/08/03,2865.971
2010/08/04,2876.434
2010/08/05,2850.829
2010/08/06,2897.659
2010/08/09,2918.241
2010/08/10,2832.638
2010/08/11,2850.211
2010/08/12,2816.386
2010/08/13,2855.547
2010/08/16,2922.083
2010/08/17,2942.291
2010/08/18,2937.362
2010/08/19,2955.395
2010/08/20,2898.333
2010/08/23,2896.192
2010/08/24,2911.827
2010/08/25,2843.023
2010/08/26,2850.093
2010/08/27,2858.566
2010/08/30,2915.01
2010/08/31,2903.188
2010/09/01,2884.042
2010/09/02,2921.393
2010/09/03,2920.205
2010/09/06,2975.09
2010/09/07,2983.108
2010/09/08,2980.967
2010/09/09,2926.46
2010/09/10,2932.554
2010/09/13,2962.319
2010/09/14,2965.009
2010/09/15,2913.194
2010/09/16,2857.789
2010/09/17,2861.369
2010/09/20,2849.828
2010/09/21,2857.476
2010/09/27,2905.029
2010/09/28,2880.907
2010/09/29,2874.812
2010/09/30,2935.574
2010/10/08,3044.233
2010/10/11,3132.895
2010/10/12,3172.726
2010/10/13,3217.577
2010/10/14,3224.14
2010/10/15,3327.683
2010/10/18,3306.16
2010/10/19,3375.674
2010/10/20,3396.879
2010/10/21,3374.685
2010/10/22,3378.655
2010/10/25,3481.081
2010/10/26,3466.084
2010/10/27,3403.872
2010/10/28,3397.692
2010/10/29,3379.983
2010/11/01,3472.995
2010/11/02,3463.131
2010/11/03,3420.341
2010/11/04,3480.505
2010/11/05,3520.798
2010/11/08,3548.566
2010/11/09,3523.954
2010/11/10,3499.111
2010/11/11,3509.975
2010/11/12,3291.833
2010/11/15,3314.893
2010/11/16,3169.538
2010/11/17,3103.906
2010/11/18,3147.962
2010/11/19,3178.846
2010/11/22,3171.941
2010/11/23,3107.176
2010/11/24,3177.043
2010/11/25,3223.484
2010/11/26,3194.853
2010/11/29,3190.05
2010/11/30,3136.985
2010/12/01,3136.024
2010/12/02,3155.059
2010/12/03,3158.156
2010/12/06,3165.57
2010/12/07,3200.339
2010/12/08,3171.882
2010/12/09,3123.366
2010/12/10,3161.977
2010/12/13,3261.061
2010/12/14,3269.474
2010/12/15,3247.644
2010/12/16,3230.665
2010/12/17,3225.661
2010/12/20,3178.657
2010/12/21,3249.509
2010/12/22,3215.453
2010/12/23,3188.607
2010/12/24,3162.955
2010/12/27,3099.709
2010/12/28,3044.931
2010/12/29,3061.83
2010/12/30,3064.098
2010/12/31,3128.261
2011/01/04,3189.682
2011/01/05,3175.662
2011/01/06,3159.643
2011/01/07,3166.624
2011/01/10,3108.187
2011/01/11,3124.922
2011/01/12,3142.337
2011/01/13,3141.284
2011/01/14,3091.862
2011/01/17,2974.35
2011/01/18,2977.648
2011/01/19,3044.851
2011/01/20,2944.713
2011/01/21,2983.456
2011/01/24,2954.232
2011/01/25,2938.654
2011/01/26,2978.431
2011/01/27,3026.466
2011/01/28,3036.735
2011/01/31,3076.508
2011/02/01,3077.283
2011/02/09,3040.949
2011/02/10,3104.163
2011/02/11,3120.956
2011/02/14,3219.143
2011/02/15,3217.671
2011/02/16,3248.527
2011/02/17,3245.907
2011/02/18,3211.876
2011/02/21,3257.908
2011/02/22,3163.578
2011/02/23,3174.742
2011/02/24,3190.935
2011/02/25,3197.617
2011/02/28,3239.559
2011/03/01,3254.893
2011/03/02,3243.298
2011/03/03,3221.718
2011/03/04,3270.666
2011/03/07,3334.51
2011/03/08,3337.457
2011/03/09,3338.858
2011/03/10,3280.259
2011/03/11,3247.376
2011/03/14,3262.92
2011/03/15,3203.961
2011/03/16,3248.195
2011/03/17,3197.1
2011/03/18,3215.685
2011/03/21,3207.11
2011/03/22,3222.961
2011/03/23,3264.926
2011/03/24,3251.361
2011/03/25,3294.484
2011/03/28,3290.571
2011/03/29,3257.979
2011/03/30,3256.08
2011/03/31,3223.288
2011/04/01,3272.729
2011/04/06,3311.067
2011/04/07,3324.419
2011/04/08,3353.358
2011/04/11,3333.427
2011/04/12,3326.771
2011/04/13,3372.031
2011/04/14,3353.56
2011/04/15,3358.944
2011/04/18,3359.438
2011/04/19,3295.812
2011/04/20,3295.758
2011/04/21,3317.367
2011/04/22,3299.942
2011/04/25,3249.574
2011/04/26,3230.96
2011/04/27,3209.503
2011/04/28,3161.776
2011/04/29,3192.723
2011/05/03,3211.132
2011/05/04,3129.028
2011/05/05,3126.117
2011/05/06,3121.396
2011/05/09,3129.759
2011/05/10,3153.221
2011/05/11,3145.085
2011/05/12,3101.603
2011/05/13,3128.093
2011/05/16,3100.463
2011/05/17,3116.028
2011/05/18,3139.379
2011/05/19,3120.639
2011/05/20,3121.596
2011/05/23,3022.98
2011/05/24,3026.223
2011/05/25,2990.343
2011/05/26,2978.381
2011/05/27,2963.308
2011/05/30,2954.506
2011/05/31,3001.556
2011/06/01,3004.173
2011/06/02,2955.705
2011/06/03,2986.349
2011/06/07,3004.262
2011/06/08,3008.652
2011/06/09,2951.889
2011/06/10,2961.932
2011/06/13,2950.348
2011/06/14,2993.559
2011/06/15,2963.119
2011/06/16,2917.578
2011/06/17,2892.157
2011/06/20,2874.896
2011/06/21,2909.073
2011/06/22,2908.582
2011/06/23,2957.629
2011/06/24,3027.47
2011/06/27,3036.491
2011/06/28,3041.734
2011/06/29,3000.169
2011/06/30,3044.089
2011/07/01,3049.745
2011/07/04,3121.98
2011/07/05,3122.5
2011/07/06,3113.712
2011/07/07,3101.68
2011/07/08,3109.183
2011/07/11,3113.206
2011/07/12,3056.905
2011/07/13,3106.247
2011/07/14,3115.745
2011/07/15,3128.889
2011/07/18,3122.6
2011/07/19,3095.125
2011/07/20,3091.567
2011/07/21,3059.139
2011/07/22,3067.985
2011/07/25,2968.289
2011/07/26,2977.766
2011/07/27,3000.052
2011/07/28,2981.002
2011/07/29,2972.079
2011/08/01,2977.721
2011/08/02,2956.383
2011/08/03,2954.87
2011/08/04,2960.309
2011/08/05,2897.417
2011/08/08,2793.897
2011/08/09,2798.19
2011/08/10,2824.12
2011/08/11,2866.924
2011/08/12,2875.365
2011/08/15,2917.883
2011/08/16,2897.581
2011/08/17,2886.013
2011/08/18,2834.254
2011/08/19,2807.664
2011/08/22,2777.787
2011/08/23,2821.003
2011/08/24,2810.016
2011/08/25,2903.837
2011/08/26,2901.216
2011/08/29,2852.809
2011/08/30,2841.74
2011/08/31,2846.776
2011/09/01,2834.535
2011/09/02,2803.854
2011/09/05,2743.817
2011/09/06,2723.303
2011/09/07,2779.09
2011/09/08,2756.105
2011/09/09,2751.095
2011/09/13,2720.283
2011/09/14,2733.108
2011/09/15,2729.051
2011/09/16,2733.987
2011/09/19,2679.27
2011/09/20,2689.845
2011/09/21,2771.011
2011/09/22,2685.688
2011/09/23,2669.478
2011/09/26,2610.919
2011/09/27,2637.879
2011/09/28,2610.59
2011/09/29,2588.185
2011/09/30,2581.351
2011/10/10,2557.082
2011/10/11,2551.994
2011/10/12,2644.758
2011/10/13,2662.601
2011/10/14,2653.782
2011/10/17,2666.951
2011/10/18,2592.209
2011/10/19,2583.081
2011/10/20,2520.532
2011/10/21,2507.877
2011/10/24,2576.669
2011/10/25,2625.425
2011/10/26,2651.652
2011/10/27,2657.478
2011/10/28,2709.017
2011/10/31,2695.307
2011/11/01,2697.534
2011/11/02,2742.39
2011/11/03,2744.301
2011/11/04,2763.746
2011/11/07,2736.248
2011/11/08,2727.71
2011/11/09,2751.654
2011/11/10,2699.588
2011/11/11,2695.002
2011/11/14,2750.195
2011/11/15,2744.68
2011/11/16,2670.116
2011/11/17,2662.017
2011/11/18,2606.495
2011/11/21,2609.687
2011/11/22,2609.475
2011/11/23,2584.011
2011/11/24,2588.915
2011/11/25,2569.973
2011/11/28,2573.321
2011/11/29,2608.569
2011/11/30,2521.52
2011/12/01,2583.613
2011/12/02,2557.311
2011/12/05,2521.385
2011/12/06,2516.341
2011/12/07,2528.228
2011/12/08,2525.001
2011/12/09,2503.461
2011/12/12,2477.692
2011/12/13,2421.928
2011/12/14,2397.48
2011/12/15,2340.788
2011/12/16,2390.129
2011/12/19,2384.408
2011/12/20,2377.073
2011/12/21,2339.108
2011/12/22,2341.335
2011/12/23,2359.159
2011/12/26,2335.702
2011/12/27,2305.035
2011/12/28,2307.928
2011/12/29,2311.361
2011/12/30,2345.742
2012/01/04,2298.753
2012/01/05,2276.385
2012/01/06,2290.601
2012/01/09,2368.57
2012/01/10,2447.349
2012/01/11,2435.608
2012/01/12,2435.219
